City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,margate,51.3813,1.3862,42.8,59,8,7.43,GB,1713836156
153,mil'kovo,55.6078,37.7956,43.27,66,99,9.8,RU,1713836156
154,turkmenbasy,40.0222,52.9552,60.06,79,100,6.49,TM,1713836156
155,dampit,-8.2116,112.7493,82.36,73,54,5.28,ID,1713836156
156,slave lake,55.2834,-114.769,50.45,46,91,5.32,CA,1713836156
157,portland,45.5234,-122.6762,61.03,43,96,7.18,US,1713836089
158,bereznik,62.8551,42.7072,34.48,93,100,12.28,RU,1713836157
159,nova sintra,14.8667,-24.7167,72.12,74,20,14.43,CV,1713836157
160,mirnyy,62.5353,113.9611,32.76,100,100,4.03,RU,1713836157
161,sisimiut,66.9395,-53.6735,32.45,83,100,7.87,GL,1713836157
162,colonia,50.9333,6.95,34.61,75,44,2.15,DE,1713836157
163,cuyo,10.8525,121.0086,85.68,71,89,2.93,PH,1713836158
164,flin flon,54.7682,-101.865,36.27,84,100,6.02,CA,1713836158
165,nar'yan-mar,67.6713,53.087,2.66,93,55,7.56,RU,1713836158
166,brokopondo,4.75,-55.1667,77.56,91,100,8.79,SR,1713836158
167,aasiaat,68.7098,-52.8699,27.14,91,100,4.63,GL,1713836158
168,harstad,68.799,16.5293,28.89,61,64,6.76,NO,1713836159
169,ciudad lazaro cardenas,17.9583,-102.2,76.32,75,0,5.08,MX,1713836159
170,birobidzhan,48.8,132.95,56.75,51,100,6.38,RU,1713836159
171,georgetown,5.4112,100.3354,84.38,78,74,3.69,MY,1713836159
172,cockburn town,21.4612,-71.1419,78.33,78,2,14.5,TC,1713836159
173,mount isa,-20.7333,139.5,80.8,38,100,17.18,AU,1713836160
174,queenstown,-31.8976,26.8753,54.84,91,82,0.58,ZA,1713836160
175,arraial do cabo,-22.9661,-42.0278,74.93,84,0,16.58,BR,1713836160
176,basco,20.4487,121.9702,83.57,76,56,18.48,PH,1713836160
177,varangaon,21.0167,75.9,88.21,44,0,4.23,IN,1713836160
178,aykhal,66.0,111.5,26.1,93,100,7.14,RU,1713836161
179,lorengau,-2.0226,147.2712,86.52,69,44,8.68,PG,1713836161
180,newman,37.3138,-121.0208,72.66,55,59,9.73,US,1713836161
